1079156780	20220107	202201	2022	2022.0192											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	4	1	4	-4.02455661664393	0								3	Santa Cruz River, Arizona, United States	US	USAZ		32.6978	-111.551	34066	3	Santa Cruz River, Arizona, United States	US	USAZ		32.6978	-111.551	34066	20230107194500	https://tucson.com/news/local/subscriber/shooting-reveals-unexpected-threat-to-urban-bobcats-in-tucson/article_decbc5b6-8d57-11ed-b419-df6814cf8500.html
1079156781	20220107	202201	2022	2022.0192											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	4	1	4	-4.02455661664393	0								3	Tucson, Arizona, United States	US	USAZ	AZ019	32.2217	-110.926	43534	3	Tucson, Arizona, United States	US	USAZ	AZ019	32.2217	-110.926	43534	20230107194500	https://tucson.com/news/local/subscriber/shooting-reveals-unexpected-threat-to-urban-bobcats-in-tucson/article_decbc5b6-8d57-11ed-b419-df6814cf8500.html
1079156782	20221208	202212	2022	2022.9260	AFGINSTAL	TALIBAN	AFG	TAL				INS													1	172	172	17	4	-5.0	2	1	2	-3.98230088495575	1	Afghanistan	AF	AF		33	66	AF	0								1	Afghanistan	AF	AF		33	66	AF	20230107194500	https://menafn.com/1105396200/Taliban-To-Ban-Tiktok-And-Pubg-Apps-In-Afghanistan
1079156783	20221208	202212	2022	2022.9260	AFGINSTAL	TALIBAN	AFG	TAL				INS													1	172	172	17	4	-5.0	8	1	8	-3.98230088495575	1	Afghanistan	AF	AF		33	66	AF	0								1	Pakistan	PK	PK		30	70	PK	20230107194500	https://menafn.com/1105396200/Taliban-To-Ban-Tiktok-And-Pubg-Apps-In-Afghanistan
1079156784	20221231	202212	2022	2022.9890											LAB	EMPLOYEE						LAB			0	036	036	03	1	4.0	10	1	10	-1.82648401826484	0								3	Irvine, California, United States	US	USCA	CA059	33.6695	-117.823	1660804	3	Irvine, California, United States	US	USCA	CA059	33.6695	-117.823	1660804	20230107194500	https://lbpost.com/news/six-takeaways-for-californians-after-the-uc-graduate-student-worker-strike
1079156785	20221231	202212	2022	2022.9890	LAB	EMPLOYEE						LAB													0	036	036	03	1	4.0	10	1	10	-1.82648401826484	3	Irvine, California, United States	US	USCA	CA059	33.6695	-117.823	1660804	0								3	Irvine, California, United States	US	USCA	CA059	33.6695	-117.823	1660804	20230107194500	https://lbpost.com/news/six-takeaways-for-californians-after-the-uc-graduate-student-worker-strike
1079156786	20230107	202301	2023	2023.0192											BHR	BAHRAIN	BHR								0	043	043	04	1	2.8	1	1	1	-0.62370062370063	0								4	Gulf Of Aqaba, Jordan (general), Jordan	JO	JO00	25309	29.2745	34.8403	-970404	4	Gulf Of Aqaba, Jordan (general), Jordan	JO	JO00	25309	29.2745	34.8403	-970404	20230107194500	https://news.usni.org/2022/08/30/video-navy-blocks-iranian-attempt-to-steal-u-s-surface-drone-in-persian-gulf
1079156787	20230107	202301	2023	2023.0192											BLR	BELARUS	BLR								0	042	042	04	1	1.9	3	1	3	-2.50965250965251	0								1	Belarus	BO	BO		53	28	BO	1	Belarus	BO	BO		53	28	BO	20230107194500	https://menafn.com/1105395989/Belarus-Has-No-Future-As-Independent-Country-Kyiv-Defense-Commander
1079156788	20230107	202301	2023	2023.0192											BUS	INDUSTRY						BUS			1	013	013	01	1	0.4	10	1	10	8.10810810810811	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20230107194500	https://it-online.co.za/2023/01/06/developer-c-at-parvana-recruitment-kwazulu-natal-durban/
1079156789	20230107	202301	2023	2023.0192											BUS	COMPANY						BUS			1	046	046	04	1	7.0	6	1	6	2.9126213592233	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20230107194500	https://411mania.com/wrestling/backstage-notes-from-last-nights-wwe-smackdown-vince-mcmahon-not-in-attendance/
1079156790	20230107	202301	2023	2023.0192											BUS	COMPANY						BUS			1	057	057	05	1	8.0	10	1	10	1.91570881226054	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230107194500	https://www.bignewsnetwork.com/news/273330463/auto-company-stellantis-signs-agreement-to-build-archer-air-taxis
1079156791	20230107	202301	2023	2023.0192											BUS	COMPANY						BUS			1	0874	087	08	2	10.0	10	1	10	0.18083182640145	0								1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20230107194500	https://www.leicestermercury.co.uk/whats-on/food-drink/forgotten-mcdonalds-items-want-make-8005093
1079156792	20230107	202301	2023	2023.0192											COP	POLICE						COP			1	014	014	01	1	0.0	10	1	10	-7.14285714285714	0								3	Las Vegas, Nevada, United States	US	USNV		36.175	-115.137	847388	3	Las Vegas, Nevada, United States	US	USNV		36.175	-115.137	847388	20230107194500	https://www.casino.org/news/terrorist-disables-mgm-solar-plant-in-las-vegas/
1079156793	20230107	202301	2023	2023.0192											COP	POLICE						COP			1	042	042	04	1	1.9	10	1	10	-3.72750642673522	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20230107194500	https://timesofindia.indiatimes.com/india/pee-gate-man-who-urinated-on-co-flyer-held-from-bengaluru-guest-house/articleshow/96821477.cms
