1082468125	20220130	202201	2022	2022.0822											KOR	SOUTH KOREA	KOR								1	042	042	04	1	1.9	6	1	6	3.21931589537223	0								4	Changwon, Kyongsang-namdo, South Korea	KS	KS20	24982	35.2281	128.681	-706032	4	Changwon, Kyongsang-namdo, South Korea	KS	KS20	24982	35.2281	128.681	-706032	20230130034500	http://koreabizwire.com/gm-to-launch-trax-crossover-cadillac-ev-in-s-korea-this-year/239241
1082468126	20220130	202201	2022	2022.0822	BUS	CARMAKER						BUS													1	061	061	06	2	6.4	5	1	5	1.25944584382872	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20230130034500	http://koreabizwire.com/auto-exports-up-16-4-pct-to-all-time-high-in-2022/239244
1082468127	20220130	202201	2022	2022.0822	BUS	CARMAKER						BUS			GOV	MINISTRY						GOV			1	061	061	06	2	6.4	5	1	5	1.25944584382872	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20230130034500	http://koreabizwire.com/auto-exports-up-16-4-pct-to-all-time-high-in-2022/239244
1082468128	20220130	202201	2022	2022.0822	GOV	MINIST OF TRADE						GOV													1	061	061	06	2	6.4	5	1	5	1.25944584382872	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20230130034500	http://koreabizwire.com/auto-exports-up-16-4-pct-to-all-time-high-in-2022/239244
1082468129	20220130	202201	2022	2022.0822	GOV	FIRE SERVICE						GOV													1	073	073	07	2	7.4	2	1	2	-2.21238938053098	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20230130034500	https://www.tribuneindia.com/news/delhi/delhi-fire-services-rescued-over-7-000-birds-animals-last-year-474778
1082468130	20220130	202201	2022	2022.0822	GOV	MINIST OF TRADE						GOV			BUS	INDUSTRY						BUS			1	061	061	06	2	6.4	5	1	5	1.25944584382872	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20230130034500	http://koreabizwire.com/auto-exports-up-16-4-pct-to-all-time-high-in-2022/239244
1082468131	20220130	202201	2022	2022.0822	IND	DELHI	IND								GOV	FIRE SERVICE						GOV			1	073	073	07	2	7.4	4	1	4	-2.21238938053098	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20230130034500	https://www.tribuneindia.com/news/delhi/delhi-fire-services-rescued-over-7-000-birds-animals-last-year-474778
1082468132	20220130	202201	2022	2022.0822	INDGOV	DELHI	IND					GOV													1	073	073	07	2	7.4	1	1	1	-2.21238938053098	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20230130034500	https://www.tribuneindia.com/news/delhi/delhi-fire-services-rescued-over-7-000-birds-animals-last-year-474778
1082468133	20220130	202201	2022	2022.0822	KOR	SOUTH KOREA	KOR																		1	043	043	04	1	2.8	8	1	8	3.21931589537223	4	Changwon, Kyongsang-namdo, South Korea	KS	KS20	24982	35.2281	128.681	-706032	0								4	Changwon, Kyongsang-namdo, South Korea	KS	KS20	24982	35.2281	128.681	-706032	20230130034500	http://koreabizwire.com/gm-to-launch-trax-crossover-cadillac-ev-in-s-korea-this-year/239241
1082468134	20220130	202201	2022	2022.0822	KOR	SEOUL	KOR																		1	043	043	04	1	2.8	2	1	2	3.21931589537223	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	0								4	Changwon, Kyongsang-namdo, South Korea	KS	KS20	24982	35.2281	128.681	-706032	20230130034500	http://koreabizwire.com/gm-to-launch-trax-crossover-cadillac-ev-in-s-korea-this-year/239241
1082468135	20221231	202212	2022	2022.9890	AFGINSTAL	TALIBAN	AFG	TAL				INS													1	120	120	12	3	-4.0	10	1	10	-5.10204081632653	1	Afghanistan	AF	AF		33	66	AF	0								1	Afghanistan	AF	AF		33	66	AF	20230130034500	https://www.wgmd.com/taliban-warns-universities-not-to-allow-afghan-women-and-girls-to-take-entry-exams/
1082468136	20221231	202212	2022	2022.9890	KEN	NAIROBI	KEN								AFR	AFRICA	AFR								1	042	042	04	1	1.9	8	1	8	-1.12	4	Qin Gang, Anhui, China	CH	CH01	13144	32.5294	118.598	-3805099	4	Qin Gang, Anhui, China	CH	CH01	13144	32.5294	118.598	-3805099	4	Qin Gang, Anhui, China	CH	CH01	13144	32.5294	118.598	-3805099	20230130034500	http://english.chinamil.com.cn/view/2023-01/30/content_10215329.htm
