1078470140	20220102	202201	2022	2022.0055	CVL	POPULATION						CVL													1	120	120	12	3	-4.0	4	1	4	-2.41796200345423	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20230102174500	https://www.breitbart.com/politics/2023/01/02/blue-states-california-and-new-york-experience-six-figure-population-decrease/
1078470141	20220102	202201	2022	2022.0055	CVL	POPULATION						CVL													1	120	120	12	3	-4.0	1	1	1	-2.41796200345423	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20230102174500	https://www.breitbart.com/politics/2023/01/02/blue-states-california-and-new-york-experience-six-figure-population-decrease/
1078470142	20220102	202201	2022	2022.0055	GOV	GOVERNMENT						GOV			BUS	MANUFACTURER						BUS			0	046	046	04	1	7.0	10	1	10	-2.29885057471265	4	Dun Laoghaire, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2925	-6.12861	-1502622	4	Dun Laoghaire, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2925	-6.12861	-1502622	4	Dun Laoghaire, County Dun Laoghaire-Rathdown, Ireland	EI	EI34	18288	53.2925	-6.12861	-1502622	20230102174500	https://www.rte.ie/news/ireland/2023/0102/1344525-cigarette-butts/
1078470143	20220102	202201	2022	2022.0055	JUD	SUPREME COURT						JUD													1	081	081	08	2	5.0	10	1	10	-1.96078431372549	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20230102174500	https://afn.net/pro-life/2023/01/02/pro-lifers-optimistic-dems-pro-abortion-push-will-face-a-stone-wall/
1078470144	20220102	202201	2022	2022.0055	MNCUSA	DISNEY	USA					MNC													1	010	010	01	1	0.0	3	1	3	0.21276595744681	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	0								4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	20230102174500	https://comicbook.com/movies/news/jeremy-renner-injury-update-serious-blood-loss-extensive-injuries/
1078470145	20220102	202201	2022	2022.0055	MNCUSA	DISNEY	USA					MNC													1	051	051	05	1	3.4	4	1	4	0.21276595744681	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	0								4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	20230102174500	https://comicbook.com/movies/news/jeremy-renner-injury-update-serious-blood-loss-extensive-injuries/
1078470146	20220102	202201	2022	2022.0055	MNCUSA	DISNEY	USA					MNC			VCT	SAINT VINCENT AND THE GRENADINES	VCT								1	010	010	01	1	0.0	1	1	1	0.21276595744681	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	20230102174500	https://comicbook.com/movies/news/jeremy-renner-injury-update-serious-blood-loss-extensive-injuries/
1078470147	20220102	202201	2022	2022.0055	RUS	RUSSIA	RUS								IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	061	061	06	2	6.4	2	1	2	-2.46085011185682	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20230102174500	https://news.topwirenews.com/2023/01/02/european-gas-prices-fall-to-lowest-level-since-ukraine-war-afr/
1078470148	20220102	202201	2022	2022.0055	RUS	RUSSIAN	RUS								IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	061	061	06	2	6.4	8	1	8	-2.46085011185682	1	Russia	RS	RS		60	100	RS	1	Switzerland	SZ	SZ		47	8	SZ	1	Russia	RS	RS		60	100	RS	20230102174500	https://news.topwirenews.com/2023/01/02/european-gas-prices-fall-to-lowest-level-since-ukraine-war-afr/
1078470149	20220102	202201	2022	2022.0055	VCT	SAINT VINCENT AND THE GRENADINES	VCT																		1	010	010	01	1	0.0	1	1	1	0.21276595744681	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	0								4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	20230102174500	https://comicbook.com/movies/news/jeremy-renner-injury-update-serious-blood-loss-extensive-injuries/
1078470150	20220102	202201	2022	2022.0055	VCT	SAINT VINCENT AND THE GRENADINES	VCT																		1	051	051	05	1	3.4	1	1	1	0.21276595744681	4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	0								4	Kingstown, Saint George, Saint Vincent And The Grenadines	VC	VC04	61295	13.1333	-61.2167	-1204477	20230102174500	https://comicbook.com/movies/news/jeremy-renner-injury-update-serious-blood-loss-extensive-injuries/
1078470151	20221226	202212	2022	2022.9753	USA	BOSTON	USA								GOV	GOVERNOR						GOV			1	164	164	16	4	-7.0	4	1	4	0.15143866733972	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20230102174500	https://www.patriotledger.com/story/news/2023/01/01/on-his-way-out-the-state-house-door-baker-ponders-his-legacy/69762409007/
1078470152	20221226	202212	2022	2022.9753	USA	BOSTON	USA								GOV	GOVERNOR						GOV			1	164	164	16	4	-7.0	3	1	3	0.15143866733972	3	Beacon Hill, Massachusetts, United States	US	USMA	MA025	42.3587	-71.0678	619512	3	Beacon Hill, Massachusetts, United States	US	USMA		42.3587	-71.0678	619512	3	Beacon Hill, Massachusetts, United States	US	USMA		42.3587	-71.0678	619512	20230102174500	https://www.patriotledger.com/story/news/2023/01/01/on-his-way-out-the-state-house-door-baker-ponders-his-legacy/69762409007/
1078470153	20230101	202301	2023	2023.0027	JUD	DISTRICT COURT						JUD			BRA	BRAZILIAN	BRA								1	173	173	17	4	-5.0	6	1	6	-3.40909090909091	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20230102174500	https://www.rte.ie/news/2023/0102/1344522-bruna-fonseca/
1078470154	20230102	202301	2023	2023.0055											AUT	AUSTRIA	AUT								0	040	040	04	1	1.0	2	1	2	2.3454157782516	0								1	Austria	AU	AU		47.333333	13.333333	AU	1	Austria	AU	AU		47.333333	13.333333	AU	20230102174500	https://news.webindia123.com/news/Articles/World/20230102/4021997.html
1078470155	20230102	202301	2023	2023.0055											BRA	RIO DE JANEIRO	BRA								1	036	036	03	1	4.0	3	1	3	6.14035087719298	0								4	Rio De Janeiro, Estado do Rio, Brazil	BR	BR21	9961	-22.9	-43.2333	-666610	4	Rio De Janeiro, Estado do Rio, Brazil	BR	BR21	9961	-22.9	-43.2333	-666610	20230102174500	https://www.diplomatie.gouv.fr/en/country-files/brazil/news/article/brazil-visit-by-olivier-becht-01-02-01-23
1078470156	20230102	202301	2023	2023.0055											BRA	BRAZILIAN	BRA								1	040	040	04	1	1.0	10	1	10	7.85498489425982	0								0								0								20230102174500	https://paulickreport.com/news/people/corrales-lobo-take-holiday-meet-titles-at-turfway/
1078470157	20230102	202301	2023	2023.0055											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	10	1	10	1.63934426229508	0								3	Lakeland, Florida, United States	US	USFL	FL105	28.0395	-81.9498	294459	3	Lakeland, Florida, United States	US	USFL	FL105	28.0395	-81.9498	294459	20230102174500	https://www.valdostadailytimes.com/ap/business/publix-announces-quarterly-dividend/article_f3ecc829-4d81-5f46-a8af-9c90a1f94b96.html
