1081200858	20220121	202201	2022	2022.0575	IGOBUSIMF	INTERNATIONAL MONETARY FUND		IMF				IGO	BUS		GOV	PRIME MINISTER						GOV			1	051	051	05	1	3.4	20	2	20	2.11804665470392	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20230121123000	https://www.daijiworld.com/news/newsDisplay?newsID=1042131
1081200859	20221222	202212	2022	2022.9644	COP	POLICEMEN						COP			OPP	PROTESTER						OPP			0	010	010	01	1	0.0	10	1	10	-8	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	20230121123000	https://www.al-monitor.com/originals/2023/01/fleeing-repression-irans-kurdish-activists-struggle-find-refuge-iraq
1081200860	20221222	202212	2022	2022.9644	COP	POLICEMEN						COP			OPP	PROTESTER						OPP			0	193	193	19	4	-10.0	10	1	10	-8	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	20230121123000	https://www.al-monitor.com/originals/2023/01/fleeing-repression-irans-kurdish-activists-struggle-find-refuge-iraq
1081200861	20221222	202212	2022	2022.9644	LEG	LEGISLATURE						LEG													0	036	036	03	1	4.0	2	1	2	0.96308186195827	3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	0								3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200862	20221222	202212	2022	2022.9644	LEG	LEGISLATURE						LEG													0	036	036	03	1	4.0	2	1	2	0.96308186195827	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200863	20221222	202212	2022	2022.9644	LEG	LEGISLATURE						LEG													0	036	036	03	1	4.0	6	1	6	0.96308186195827	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200864	20221222	202212	2022	2022.9644	LEG	LEGISLATURE						LEG													0	080	080	08	2	5.0	2	1	2	0.96308186195827	3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	0								3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200865	20221222	202212	2022	2022.9644	LEG	LEGISLATURE						LEG													0	080	080	08	2	5.0	2	1	2	0.96308186195827	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200866	20221222	202212	2022	2022.9644	LEG	LEGISLATURE						LEG													0	080	080	08	2	5.0	6	1	6	0.96308186195827	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200867	20230114	202301	2023	2023.0384	ARG	ARGENTINA	ARG								BRA	BRAZILIAN	BRA								1	043	043	04	1	2.8	4	1	4	0	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Itamaraty, Piauhy, Brazil	BR	BR20	18585	-4.41667	-41.4667	-660892	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
