1080320490	20230116	202301	2023	2023.0438	IND	RANCHI	IND																		1	043	043	04	1	2.8	5	1	5	4.67289719626168	0								0								0								20230116044500	https://timesofindia.indiatimes.com/city/ranchi/trips-to-temples-parks-mark-makar-sankranti/articleshow/97017267.cms
1080320491	20230116	202301	2023	2023.0438	IND	MUMBAI	IND																		1	043	043	04	1	2.8	2	1	2	-1.3840830449827	4	Baramati, Maharashtra, India	IN	IN16	17781	18.15	74.5833	-2090417	0								4	Baramati, Maharashtra, India	IN	IN16	17781	18.15	74.5833	-2090417	20230116044500	https://www.indiatoday.in/india/story/ncp-ajit-pawar-lift-mishap-falls-from-fourth-floor-pune-hospital-2321914-2023-01-15
1080320492	20230116	202301	2023	2023.0438	IND	LUDHIANA	IND																		1	043	043	04	1	2.8	8	1	4	-1.81818181818182	4	Ludhiana, Punjab, India	IN	IN23	17830	30.9	75.85	-2102840	0								4	Mohali, Madhya Pradesh, India	IN	IN35	17744	24.1492	78.9817	10450720	20230116044500	https://www.tribuneindia.com/news/punjab/drive-against-mohali-land-grabbers-was-abandoned-at-eleventh-hour-470763
1080320493	20230116	202301	2023	2023.0438	IND	LUDHIANA	IND																		1	043	043	04	1	2.8	4	1	2	-1.81818181818182	4	Patiala, Punjab, India	IN	IN23	17831	30.3267	76.4003	-2107479	0								4	Mohali, Madhya Pradesh, India	IN	IN35	17744	24.1492	78.9817	10450720	20230116044500	https://www.tribuneindia.com/news/punjab/drive-against-mohali-land-grabbers-was-abandoned-at-eleventh-hour-470763
1080320494	20230116	202301	2023	2023.0438	IND	RANCHI	IND																		1	141	141	14	3	-6.5	10	1	10	-2.08333333333333	0								0								0								20230116044500	https://timesofindia.indiatimes.com/city/ranchi/10k-march-against-attacks-on-church/articleshow/97017247.cms
1080320495	20230116	202301	2023	2023.0438	IND	HARYANA	IND								GOV	MINIST						GOV			1	042	042	04	1	1.9	5	1	5	-4.07407407407407	0								0								0								20230116044500	https://www.tribuneindia.com/news/haryana/to-protest-e-tendering-sarpanches-to-lock-block-development-offices-today-470683
1080320496	20230116	202301	2023	2023.0438	IND	RANCHI	IND								HIN	HINDU				HIN					1	110	110	11	3	-2.0	10	1	10	-2.08333333333333	0								0								0								20230116044500	https://timesofindia.indiatimes.com/city/ranchi/10k-march-against-attacks-on-church/articleshow/97017247.cms
1080320497	20230116	202301	2023	2023.0438	IND	BHARAT	IND								MIL	ARMY CHIEF						MIL			0	020	020	02	1	3.0	3	1	3	-3.15533980582524	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20230116044500	https://www.tribuneindia.com/news/nation/defence-strong-at-lac-ready-for-any-contingency-army-chief-470679
1080320498	20230116	202301	2023	2023.0438	IND	BHARAT	IND								MIL	ARMY CHIEF						MIL			0	020	020	02	1	3.0	1	1	1	-3.15533980582524	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20230116044500	https://www.tribuneindia.com/news/nation/defence-strong-at-lac-ready-for-any-contingency-army-chief-470679
1080320499	20230116	202301	2023	2023.0438	IND	RANCHI	IND								MOS	MUSLIM				MOS					1	110	110	11	3	-2.0	10	1	10	-2.08333333333333	0								0								0								20230116044500	https://timesofindia.indiatimes.com/city/ranchi/10k-march-against-attacks-on-church/articleshow/97017247.cms
1080320500	20230116	202301	2023	2023.0438	IND	RANCHI	IND								SIK	SIKH				SIK					1	110	110	11	3	-2.0	10	1	10	-2.08333333333333	0								0								0								20230116044500	https://timesofindia.indiatimes.com/city/ranchi/10k-march-against-attacks-on-church/articleshow/97017247.cms
1080320501	20230116	202301	2023	2023.0438	INDGOV	SHANTA KUMAR	IND					GOV													1	012	012	01	1	-0.4	10	1	10	-3.0716723549488	5	Himachal Pradesh, Himachal Pradesh, India	IN	IN11	17673	31.9167	77.25	-2097441	0								5	Himachal Pradesh, Himachal Pradesh, India	IN	IN11	17673	31.9167	77.25	-2097441	20230116044500	https://www.tribuneindia.com/news/himachal/dc-seeks-report-on-sinking-mcleodganj-roads-within-10-days-470682
1080320502	20230116	202301	2023	2023.0438	INDGOV	SHANTA KUMAR	IND					GOV			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	6	1	6	-3.0716723549488	4	Joshimath, Uttaranchal, India	IN	IN39	70282	30.5667	79.5667	-2098737	4	Dharamsala, Himachal Pradesh, India	IN	IN11	17669	32.2167	76.3167	-2094696	4	Joshimath, Uttaranchal, India	IN	IN39	70282	30.5667	79.5667	-2098737	20230116044500	https://www.tribuneindia.com/news/himachal/dc-seeks-report-on-sinking-mcleodganj-roads-within-10-days-470682
1080320503	20230116	202301	2023	2023.0438	INDGOV	SHANTA KUMAR	IND					GOV			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	4	1	4	-3.0716723549488	4	Joshimath, Uttaranchal, India	IN	IN39	70282	30.5667	79.5667	-2098737	4	Joshimath, Uttaranchal, India	IN	IN39	70282	30.5667	79.5667	-2098737	4	Joshimath, Uttaranchal, India	IN	IN39	70282	30.5667	79.5667	-2098737	20230116044500	https://www.tribuneindia.com/news/himachal/dc-seeks-report-on-sinking-mcleodganj-roads-within-10-days-470682
1080320504	20230116	202301	2023	2023.0438	INDGOVDEV	HIMACHAL PRADESH	IND					GOV	DEV												1	042	042	04	1	1.9	10	1	10	0.619195046439629	0								0								0								20230116044500	https://www.jagranjosh.com/articles/hppsc-lwo-admit-card-download-1673835430-1
1080320505	20230116	202301	2023	2023.0438	IRL	IRELAND	IRL								IRLMED	IRELAND	IRL					MED			0	010	010	01	1	0.0	1	1	1	-6.99029126213593	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20230116044500	https://www.ibtimes.com/nepal-mourns-victims-deadliest-plane-crash-decades-3657256
1080320506	20230116	202301	2023	2023.0438	ISR	ISRAEL	ISR								GBR	UNITED KINGDOM	GBR								0	134	134	13	3	-5.8	1	1	1	-0.16744809109176	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	1	United Kingdom	UK	UK		54	-4	UK	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	20230116044500	http://www.israelnationalnews.com/news/365967
1080320507	20230116	202301	2023	2023.0438	ISR	ISRAEL	ISR								GBR	UNITED KINGDOM	GBR								0	134	134	13	3	-5.8	1	1	1	-0.16744809109176	1	United Kingdom	UK	UK		54	-4	UK	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	1	United Kingdom	UK	UK		54	-4	UK	20230116044500	http://www.israelnationalnews.com/news/365967
1080320508	20230116	202301	2023	2023.0438	ISR	ISRAEL	ISR								HLH	HOSPITAL						HLH			1	016	016	01	1	-2.0	2	1	2	-4.63768115942029	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20230116044500	https://www.timesofisrael.com/doctor-falsely-accused-of-praising-terrorist-to-return-to-work-at-hadassah/
1080320509	20230116	202301	2023	2023.0438	ISR	ISRAELI	ISR								ISRGOV	ISRAEL	ISR					GOV			1	040	040	04	1	1.0	2	1	2	-0.16744809109176	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230116044500	http://www.israelnationalnews.com/news/365967
1080320510	20230116	202301	2023	2023.0438	ISR	ISRAEL	ISR								ISRGOV	ISRAEL	ISR					GOV			0	051	051	05	1	3.4	2	1	2	-0.16744809109176	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	20230116044500	http://www.israelnationalnews.com/news/365967
1080320511	20230116	202301	2023	2023.0438	ISR	ISRAELI	ISR								ISRGOV	ISRAEL	ISR					GOV			1	083	083	08	2	5.0	4	1	4	-0.16744809109176	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	20230116044500	http://www.israelnationalnews.com/news/365967
1080320512	20230116	202301	2023	2023.0438	ISRGOV	ISRAELI	ISR					GOV													1	083	083	08	2	5.0	6	1	6	-0.16744809109176	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	0								4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	20230116044500	http://www.israelnationalnews.com/news/365967
1080320513	20230116	202301	2023	2023.0438	JEW	RABBI				JEW															1	020	020	02	1	3.0	10	1	10	-2.73037542662116	1	Egypt	EG	EG		27	30	EG	0								1	Egypt	EG	EG		27	30	EG	20230116044500	https://blogs.timesofisrael.com/when-the-going-gets-tough/
1080320514	20230116	202301	2023	2023.0438	JOR	JORDANIAN	JOR																		1	012	012	01	1	-0.4	10	1	10	1.41509433962264	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	0								4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431387/No-Specific-Launch-Date-Set-For-Ajloun-Cable-Car-Project
1080320515	20230116	202301	2023	2023.0438	JOR	JORDANIAN	JOR																		1	036	036	03	1	4.0	10	1	10	1.41509433962264	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	0								4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431387/No-Specific-Launch-Date-Set-For-Ajloun-Cable-Car-Project
1080320516	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR																		1	051	051	05	1	3.4	2	1	2	0	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	0								4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20230116044500	https://menafn.com/1105431383/Kharabsheh-Calls-For-Single-Electricity-Transmission-Network-At-IRENA-Meet
1080320517	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								BUS	BUSINESS						BUS			0	042	042	04	1	1.9	2	1	2	3.67170626349892	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	20230116044500	https://menafn.com/1105431390/King-Visits-Petra-Urges-Developing-Citys-Infrastructure-Diversifying-Tourism-Product
1080320518	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								CVL	RESIDENTS						CVL			0	013	013	01	1	0.4	4	1	4	3.67170626349892	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	20230116044500	https://menafn.com/1105431390/King-Visits-Petra-Urges-Developing-Citys-Infrastructure-Diversifying-Tourism-Product
1080320519	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								CVL	RESIDENTS						CVL			0	051	051	05	1	3.4	4	1	4	3.67170626349892	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	4	Wadi Musa, Maan, Jordan	JO	JO19	65741	30.3222	35.4793	-974865	20230116044500	https://menafn.com/1105431390/King-Visits-Petra-Urges-Developing-Citys-Infrastructure-Diversifying-Tourism-Product
1080320520	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								EGY	EGYPT	EGY								1	010	010	01	1	0.0	1	1	1	0.43668122270742	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431386/Truckers-Say-Egypt-Prevents-Jordanian-Trucks-Entry-To-Libya-Via-Salloum-Border-Crossing
1080320521	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								EGY	EGYPT	EGY								1	010	010	01	1	0.0	1	1	1	0.43668122270742	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	1	Egypt	EG	EG		27	30	EG	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431386/Truckers-Say-Egypt-Prevents-Jordanian-Trucks-Entry-To-Libya-Via-Salloum-Border-Crossing
1080320522	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								EGY	EGYPT	EGY								1	080	080	08	2	5.0	1	1	1	0.43668122270742	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431386/Truckers-Say-Egypt-Prevents-Jordanian-Trucks-Entry-To-Libya-Via-Salloum-Border-Crossing
1080320523	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								EGY	EGYPT	EGY								1	080	080	08	2	5.0	1	1	1	0.43668122270742	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	1	Egypt	EG	EG		27	30	EG	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431386/Truckers-Say-Egypt-Prevents-Jordanian-Trucks-Entry-To-Libya-Via-Salloum-Border-Crossing
1080320524	20230116	202301	2023	2023.0438	JOR	AMMAN	JOR								JORMED	JORDAN	JOR					MED			1	017	017	01	1	0.0	7	1	7	2.97619047619047	4	Jiza, Jordan (general), Jordan	JO	JO00	36715	31.6997	35.9572	-970163	4	Jiza, Jordan (general), Jordan	JO	JO00	36715	31.6997	35.9572	-970163	4	Jiza, Jordan (general), Jordan	JO	JO00	36715	31.6997	35.9572	-970163	20230116044500	https://menafn.com/1105431384/Karaks-Arbour-Day-Celebration-Sees-Opening-Of-New-Qatraneh-Forest
1080320525	20230116	202301	2023	2023.0438	JOR	AMMAN	JOR								JORMED	JORDAN	JOR					MED			1	042	042	04	1	1.9	7	1	7	2.97619047619047	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431384/Karaks-Arbour-Day-Celebration-Sees-Opening-Of-New-Qatraneh-Forest
1080320526	20230116	202301	2023	2023.0438	JOR	AMMAN	JOR								JORMED	JORDAN	JOR					MED			1	051	051	05	1	3.4	5	1	5	2.97619047619047	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20230116044500	https://menafn.com/1105431384/Karaks-Arbour-Day-Celebration-Sees-Opening-Of-New-Qatraneh-Forest
1080320527	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								LBY	LIBYAN	LBY								1	042	042	04	1	1.9	3	1	3	0.43668122270742	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	1	Libya	LY	LY		25	17	LY	1	Egypt	EG	EG		27	30	EG	20230116044500	https://menafn.com/1105431386/Truckers-Say-Egypt-Prevents-Jordanian-Trucks-Entry-To-Libya-Via-Salloum-Border-Crossing
1080320528	20230116	202301	2023	2023.0438	JOR	JORDAN	JOR								LBY	LIBYA	LBY								1	042	042	04	1	1.9	4	1	4	0.43668122270742	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	20230116044500	https://menafn.com/1105431386/Truckers-Say-Egypt-Prevents-Jordanian-Trucks-Entry-To-Libya-Via-Salloum-Border-Crossing
