1079962862	20221214	202212	2022	2022.9425	GOV	GOVERNMENT						GOV			LEG	CONGRESS						LEG			0	172	172	17	4	-5.0	2	1	2	-2.33837689133425	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20230113030000	https://www.wunc.org/news/2023-01-12/nc-gov-cooper-bans-popular-tiktok-app-on-state-owned-phones
1079962863	20230106	202301	2023	2023.0164	MED	WEBSITE						MED													0	010	010	01	1	0.0	2	1	2	-2.41657077100115	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	0								4	Afrin, ?alab, Syria	SY	SY09	26319	36.2251	37.3266	-2537705	20230113030000	https://www.voanews.com/a/settlement-construction-in-syrian-district-renews-accusations-of-demographic-engineering-/6916667.html
1079962864	20230106	202301	2023	2023.0164	MED	WEBSITE						MED			SYR	SYRIA	SYR								0	010	010	01	1	0.0	4	1	4	-2.41657077100115	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	4	Afrin, ?alab, Syria	SY	SY09	26319	36.2251	37.3266	-2537705	4	Afrin, ?alab, Syria	SY	SY09	26319	36.2251	37.3266	-2537705	20230113030000	https://www.voanews.com/a/settlement-construction-in-syrian-district-renews-accusations-of-demographic-engineering-/6916667.html
1079962865	20230106	202301	2023	2023.0164	MED	WEBSITE						MED			SYR	SYRIA	SYR								0	010	010	01	1	0.0	2	1	2	-2.41657077100115	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	4	Afrin, ?alab, Syria	SY	SY09	26319	36.2251	37.3266	-2537705	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	20230113030000	https://www.voanews.com/a/settlement-construction-in-syrian-district-renews-accusations-of-demographic-engineering-/6916667.html
1079962866	20230106	202301	2023	2023.0164	MED	WEBSITE						MED			SYR	SYRIA	SYR								0	010	010	01	1	0.0	2	1	2	-2.41657077100115	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	20230113030000	https://www.voanews.com/a/settlement-construction-in-syrian-district-renews-accusations-of-demographic-engineering-/6916667.html
1079962867	20230113	202301	2023	2023.0356											AGR	FARMER						AGR			0	014	014	01	1	0.0	10	1	10	-4.19354838709678	0								4	Siddapur, Karnataka, India	IN	IN19	17696	14.3333	74.8833	-2111219	4	Siddapur, Karnataka, India	IN	IN19	17696	14.3333	74.8833	-2111219	20230113030000	https://www.thehindu.com/news/national/telangana/village-development-committees-hold-people-to-ransom/article66365377.ece
1079962868	20230113	202301	2023	2023.0356											AGR	FARMER						AGR			0	043	043	04	1	2.8	10	1	10	-4.19354838709678	0								4	Siddapur, Karnataka, India	IN	IN19	17696	14.3333	74.8833	-2111219	4	Siddapur, Karnataka, India	IN	IN19	17696	14.3333	74.8833	-2111219	20230113030000	https://www.thehindu.com/news/national/telangana/village-development-committees-hold-people-to-ransom/article66365377.ece
1079962869	20230113	202301	2023	2023.0356											ARE	UNITED ARAB EMIRATES	ARE								1	042	042	04	1	1.9	4	1	4	3.00120048019207	0								4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20230113030000	https://www.thenews.com.pk/print/1029952-3bn-uae-help-for-pakistan-s-depleting-forex-reserves
1079962870	20230113	202301	2023	2023.0356											ARE	ABU DHABI	ARE								1	042	042	04	1	1.9	2	1	2	3.00120048019207	0								4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20230113030000	https://www.thenews.com.pk/print/1029952-3bn-uae-help-for-pakistan-s-depleting-forex-reserves
1079962871	20230113	202301	2023	2023.0356											BRA	BRAZIL	BRA								0	040	040	04	1	1.0	5	1	5	-3.9832285115304	0								4	Amazonia, Bahia, Brazil	BR	BR05	6903	-12.1667	-39.3333	-624596	4	Amazonia, Bahia, Brazil	BR	BR05	6903	-12.1667	-39.3333	-624596	20230113030000	https://www.lamag.com/citythinkblog/exclusive-boyfriend-refusing-to-help-as-search-party-hunts-for-murdered-soldiers-body/
1079962872	20230113	202301	2023	2023.0356											BRA	BRAZIL	BRA								0	042	042	04	1	1.9	4	1	4	-8.06045340050378	0								4	Getulio Vargas, Rio Grande do Sul, Brazil	BR	BR23	10317	-27.8333	-52.2667	-644797	4	Getulio Vargas, Rio Grande do Sul, Brazil	BR	BR23	10317	-27.8333	-52.2667	-644797	20230113030000	https://www.ibtimes.com/violent-spark-followed-fizzle-bolsonarismo-spent-3656523
1079962873	20230113	202301	2023	2023.0356											BRA	BRAZIL	BRA								0	173	173	17	4	-5.0	4	1	4	-3.9832285115304	0								4	Amazonia, Bahia, Brazil	BR	BR05	6903	-12.1667	-39.3333	-624596	4	Amazonia, Bahia, Brazil	BR	BR05	6903	-12.1667	-39.3333	-624596	20230113030000	https://www.lamag.com/citythinkblog/exclusive-boyfriend-refusing-to-help-as-search-party-hunts-for-murdered-soldiers-body/
1079962874	20230113	202301	2023	2023.0356											BUS	COMPANY						BUS			0	046	046	04	1	7.0	8	1	8	1.00250626566416	0								4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20230113030000	https://www.dawn.com/news/1731386/no-plans-to-sell-roosevelt-hotel-senate-panel-told
1079962875	20230113	202301	2023	2023.0356											BUS	PRODUCER						BUS			1	060	060	06	2	6.0	10	1	10	3.94321766561514	0								3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20230113030000	https://menafn.com/1105422493/Motion-And-Post-Producers-Get-Opportunity-To-Level-Up-Their-Skills-With-Launch-Of-Deducers
1079962876	20230113	202301	2023	2023.0356											BUS	COMPANY						BUS			1	173	173	17	4	-5.0	20	1	10	2.01511335012594	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20230113030000	https://www.dailymail.co.uk/tvshowbiz/article-11630135/Tyga-named-1-34M-suit-company-says-defaulted-payments-Lamborghini-Bentley.html
1079962877	20230113	202301	2023	2023.0356											CAN	CANADA	CAN								1	080	080	08	2	5.0	3	1	3	-7.01513067400275	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20230113030000	https://toronto.ctvnews.ca/stephanie-warriner-s-sister-blindsided-jury-will-never-see-this-video-footage-after-guards-cleared-of-charges-1.6228946
1079962878	20230113	202301	2023	2023.0356											COP	DEPUTY						COP			0	043	043	04	1	2.8	1	1	1	3.91566265060241	0								3	Wichita, Kansas, United States	US	USKS	KS173	37.6922	-97.3375	473862	3	Wichita, Kansas, United States	US	USKS	KS173	37.6922	-97.3375	473862	20230113030000	https://www.duluthnewstribune.com/news/local/ramsay-sworn-in-as-st-louis-county-sheriff
1079962879	20230113	202301	2023	2023.0356											COP	POLICE						COP			1	046	046	04	1	7.0	5	1	5	-10.5263157894737	0								0								0								20230113030000	https://fredericksburg.com/news/local/crime-and-courts/complaints-lead-to-investigation-drug-arrest-in-spotsylvania/article_5402158c-92d1-11ed-9e46-efd2aba338c0.html
1079962880	20230113	202301	2023	2023.0356											COP	DEPUTIES						COP			1	193	193	19	4	-10.0	2	1	2	-4.97237569060774	0								3	Tuscaloosa, Alabama, United States	US	USAL	AL125	33.2098	-87.5692	153742	3	Tuscaloosa, Alabama, United States	US	USAL	AL125	33.2098	-87.5692	153742	20230113030000	https://953thebear.com/ixp/993/p/man-arrested-after-shooting-at-deputies-in-walker-county-alabama/
1079962881	20230113	202301	2023	2023.0356											CRM	DEALER						CRM			1	010	010	01	1	0.0	1	1	1	-2.69413629160063	0								4	Attock, Punjab, Pakistan	PK	PK04	23652	33.8928	72.2407	-2755089	4	Attock, Punjab, Pakistan	PK	PK04	23652	33.8928	72.2407	-2755089	20230113030000	https://www.dawn.com/news/1731294/punjab-responsible-for-flour-crisis-in-kp-insist-dealers
1079962882	20230113	202301	2023	2023.0356											CUBGOV	CUBA	CUB					GOV			1	040	040	04	1	1.0	2	1	2	-1.80806675938803	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20230113030000	https://peoplesdispatch.org/2023/01/13/where-are-relations-between-cuba-and-the-united-states-today/
1079962883	20230113	202301	2023	2023.0356											CVL	RESIDENTS						CVL			1	020	020	02	1	3.0	6	1	6	-5.6	0								3	Decatur, Alabama, United States	US	USAL	AL103	34.6059	-86.9833	117185	3	Decatur, Alabama, United States	US	USAL	AL103	34.6059	-86.9833	117185	20230113030000	https://www.nbcrightnow.com/national/tornado-causes-significant-damage-in-selma-alabama-mayor-says/article_73b71596-92d9-11ed-a759-233250a8efda.html
1079962884	20230113	202301	2023	2023.0356											CVL	RESIDENTS						CVL			1	020	020	02	1	3.0	4	1	4	-5.6	0								3	Decatur, Alabama, United States	US	USAL	AL103	34.6059	-86.9833	117185	3	Morgan County, Alabama, United States	US	USAL		34.4501	-86.85	161578	20230113030000	https://www.nbcrightnow.com/national/tornado-causes-significant-damage-in-selma-alabama-mayor-says/article_73b71596-92d9-11ed-a759-233250a8efda.html
1079962885	20230113	202301	2023	2023.0356											CVL	COMMUNITY						CVL			1	036	036	03	1	4.0	10	1	10	5.23415977961433	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20230113030000	https://www.montrosepress.com/free_access/montrose-church-invites-community-to-river-blessing/article_82f4264c-92d5-11ed-b20c-27a2fefc57b9.html
1079962886	20230113	202301	2023	2023.0356											CVL	POPULATION						CVL			0	042	042	04	1	1.9	5	1	5	-2.41657077100115	0								4	Afrin, ?alab, Syria	SY	SY09	26319	36.2251	37.3266	-2537705	4	Afrin, ?alab, Syria	SY	SY09	26319	36.2251	37.3266	-2537705	20230113030000	https://www.voanews.com/a/settlement-construction-in-syrian-district-renews-accusations-of-demographic-engineering-/6916667.html
1079962887	20230113	202301	2023	2023.0356											CVL	COMMUNITY						CVL			1	042	042	04	1	1.9	3	1	3	0.09661835748793	0								3	Ketchikan, Alaska, United States	US	USAK	AK130	55.3422	-131.646	1423039	3	Ketchikan, Alaska, United States	US	USAK	AK130	55.3422	-131.646	1423039	20230113030000	https://www.kstk.org/2023/01/12/wrangell-government-establishes-new-position-to-market-the-community-itself/
1079962888	20230113	202301	2023	2023.0356											CVL	COMMUNITY						CVL			1	051	051	05	1	3.4	10	1	10	5.23415977961433	0								3	Uncompahgre River, Colorado, United States	US	USCO		38.7566	-108.09	185397	3	Uncompahgre River, Colorado, United States	US	USCO		38.7566	-108.09	185397	20230113030000	https://www.montrosepress.com/free_access/montrose-church-invites-community-to-river-blessing/article_82f4264c-92d5-11ed-b20c-27a2fefc57b9.html
1079962889	20230113	202301	2023	2023.0356											CVL	RESIDENTS						CVL			1	130	130	13	3	-4.4	10	1	10	-5.6	0								3	Dallas County, Alabama, United States	US	USAL		32.3335	-87.0833	161549	3	Dallas County, Alabama, United States	US	USAL		32.3335	-87.0833	161549	20230113030000	https://www.nbcrightnow.com/national/tornado-causes-significant-damage-in-selma-alabama-mayor-says/article_73b71596-92d9-11ed-a759-233250a8efda.html
1079962890	20230113	202301	2023	2023.0356											CVL	CITIZEN						CVL			0	1823	182	18	4	-10.0	10	1	10	-11.3149847094801	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20230113030000	https://www.dawn.com/news/1731414/iran-executions
1079962891	20230113	202301	2023	2023.0356											DOM	DOMINICAN REPUBLIC	DOM								0	173	173	17	4	-5.0	2	1	2	-5.85106382978724	0								1	Dominican Republic	DR	DR		19	-70.666667	DR	1	Dominican Republic	DR	DR		19	-70.666667	DR	20230113030000	https://www.rap-up.com/2023/01/12/young-thug-judge-punishes-juror-30-page-essay/
1079962892	20230113	202301	2023	2023.0356											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	6	1	6	5.98159509202454	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20230113030000	https://technical.ly/startups/protenus-cofounder-robert-lord-returning-johns-hopkins-medical-school-joining-lionbird-ventures-partner/
1079962893	20230113	202301	2023	2023.0356											EDU	COLLEGE						EDU			1	042	042	04	1	1.9	10	1	10	5.75221238938054	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20230113030000	https://www.recorder.com/GCC-resuming-MLK-Day-celebration-49509080
1079962894	20230113	202301	2023	2023.0356											EGY	SINAI	EGY								0	030	030	03	1	4.0	10	1	10	-1.12994350282486	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230113030000	https://www.dailyfinland.fi/worldwide/30796/NY-nurses-end-strike-with-tentative-deals-reached
1079962895	20230113	202301	2023	2023.0356											EGYHLH	SINAI	EGY					HLH			1	030	030	03	1	4.0	10	1	10	-1.12994350282486	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230113030000	https://www.dailyfinland.fi/worldwide/30796/NY-nurses-end-strike-with-tentative-deals-reached
