1080963401	20220119	202201	2022	2022.0521											GOV	STATE OWNED						GOV			0	036	036	03	1	4.0	10	1	10	-2.40112994350283	0								2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20230119231500	https://www.kxly.com/wa-has-530-bridges-in-poor-condition-and-limited-repair-money/
1080963402	20220119	202201	2022	2022.0521											USA	UNITED STATES	USA								0	0874	087	08	2	10.0	8	1	8	-0.19417475728155	0								3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20230119231500	https://sfist.com/2023/01/19/meta-looking-to-offload-all-of-its-office-space-at-181-fremont/
1080963403	20220119	202201	2022	2022.0521	DEULEG	BUNDESTAG	DEU					LEG													1	071	071	07	2	7.4	4	1	4	-2.47349823321555	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20230119231500	https://www.prokerala.com/news/articles/a1383370.html
1080963404	20220119	202201	2022	2022.0521	FRA	FRENCH	FRA								COP	PRISON						COP			0	090	090	09	2	-2.0	1	1	1	-5.96153846153846	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Mashhad, (IR30), Iran	IR	IR30	41031	36.297	59.6062	-3074261	4	Mashhad, (IR30), Iran	IR	IR30	41031	36.297	59.6062	-3074261	20230119231500	https://www.al-monitor.com/originals/2023/01/dublin-says-doing-all-it-can-free-french-irish-citizen-held-iran
1080963405	20220119	202201	2022	2022.0521	FRA	FRENCH	FRA								COP	PRISON						COP			0	173	173	17	4	-5.0	1	1	1	-5.96153846153846	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Mashhad, (IR30), Iran	IR	IR30	41031	36.297	59.6062	-3074261	4	Mashhad, (IR30), Iran	IR	IR30	41031	36.297	59.6062	-3074261	20230119231500	https://www.al-monitor.com/originals/2023/01/dublin-says-doing-all-it-can-free-french-irish-citizen-held-iran
1080963406	20220119	202201	2022	2022.0521	GOV	STATE OWNED						GOV													0	036	036	03	1	4.0	10	1	10	-2.40112994350283	2	Washington, United States	US	USWA		47.3917	-121.571	WA	0								2	Washington, United States	US	USWA		47.3917	-121.571	WA	20230119231500	https://www.kxly.com/wa-has-530-bridges-in-poor-condition-and-limited-repair-money/
1080963407	20220119	202201	2022	2022.0521	USA	UNITED STATES	USA																		0	173	173	17	4	-5.0	6	1	6	-7.56972111553785	3	Fort Worth, Texas, United States	US	USTX	TX439	32.7254	-97.3208	1380947	0								3	Fort Worth, Texas, United States	US	USTX		32.7254	-97.3208	1380947	20230119231500	https://www.goskagit.com/news/politics/boeing-ordered-to-be-arraigned-on-charge-in-max-crashes/article_1923af64-1ced-5e2e-9d37-fee36d1de115.html
1080963408	20221220	202212	2022	2022.9589	CHN	CHINA	CHN								RUS	RUSSIA	RUS								1	062	062	06	2	7.4	2	1	2	-1.90274841437632	1	China	CH	CH		35	105	CH	5	Kalmykia, Kalmykiya, Russia	RS	RS24	25051	46.5	45.5	-2919206	5	Kalmykia, Kalmykiya, Russia	RS	RS24	25051	46.5	45.5	-2919206	20230119231500	https://www.dailymaverick.co.za/article/2023-01-19-insensitive-sandf-to-go-ahead-with-china-russia-joint-exercise/
1080963409	20221220	202212	2022	2022.9589	LAB	WORKER						LAB													1	138	138	13	3	-7.0	3	1	3	-2.23776223776223	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20230119231500	https://www.mirror.co.uk/news/politics/more-three-five-patients-support-29001945
1080963410	20221220	202212	2022	2022.9589	LAB	WORKER						LAB			GBR	MANCHESTER	GBR								1	138	138	13	3	-7.0	7	1	7	-2.23776223776223	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20230119231500	https://www.mirror.co.uk/news/politics/more-three-five-patients-support-29001945
