1079799683	20220112	202201	2022	2022.0329	LTU	LITHUANIA	LTU								LVA	LATVIA	LVA								0	112	112	11	3	-2.0	2	1	2	-10.1694915254237	1	Latvia	LG	LG		57	25	LG	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799684	20220112	202201	2022	2022.0329	LTU	LITHUANIA	LTU								LVA	LATVIA	LVA								0	112	112	11	3	-2.0	6	1	6	-10.1694915254237	1	Lithuania	LH	LH		56	24	LH	1	Latvia	LG	LG		57	25	LG	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799685	20220112	202201	2022	2022.0329	LTU	LITHUANIA	LTU								POL	POLAND	POL								0	112	112	11	3	-2.0	2	1	2	-10.1694915254237	1	Latvia	LG	LG		57	25	LG	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799686	20220112	202201	2022	2022.0329	LTU	LITHUANIA	LTU								POL	POLAND	POL								0	112	112	11	3	-2.0	6	1	6	-10.1694915254237	1	Lithuania	LH	LH		56	24	LH	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799687	20220112	202201	2022	2022.0329	LVA	LATVIA	LVA								LTU	LITHUANIA	LTU								0	112	112	11	3	-2.0	2	1	2	-10.1694915254237	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Latvia	LG	LG		57	25	LG	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799688	20220112	202201	2022	2022.0329	LVA	LATVIA	LVA								LTU	LITHUANIA	LTU								0	112	112	11	3	-2.0	6	1	6	-10.1694915254237	1	Latvia	LG	LG		57	25	LG	1	Lithuania	LH	LH		56	24	LH	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799689	20220112	202201	2022	2022.0329	LVA	LATVIA	LVA								POL	POLAND	POL								0	112	112	11	3	-2.0	2	1	2	-10.1694915254237	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799690	20220112	202201	2022	2022.0329	LVA	LATVIA	LVA								POL	POLAND	POL								0	112	112	11	3	-2.0	6	1	6	-10.1694915254237	1	Latvia	LG	LG		57	25	LG	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
1079799691	20220112	202201	2022	2022.0329	MYS	MALAYSIA	MYS																		1	111	111	11	3	-2.0	4	1	4	8.28877005347593	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20230112050000	https://www.thesundaily.my/home/jom-cha-enters-strategic-agreement-for-expansion-with-aeon-big-HN10489097
1079799692	20220112	202201	2022	2022.0329	POL	POLAND	POL								LTU	LITHUANIA	LTU								0	112	112	11	3	-2.0	2	1	2	-10.1694915254237	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Latvia	LG	LG		57	25	LG	1	Lithuania	LH	LH		56	24	LH	20230112050000	https://www.urdupoint.com/en/world/echr-lifts-ban-prohibiting-poland-from-deport-1623910.html
