1081057181	20220120	202201	2022	2022.0548	CVL	COMMUNITY						CVL													0	071	071	07	2	7.4	10	1	10	-2.07692307692308	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	0								2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20230120131500	https://publicintegrity.org/environment/natural-resources/study-finds-disparities-in-states-distribution-of-federal-funds-for-water-systems/
1081057182	20220120	202201	2022	2022.0548	DJI	DJIBOUTI	DJI								ETH	ETHIOPIA	ETH								1	046	046	04	1	7.0	2	1	2	4.81283422459893	1	Djibouti	DJ	DJ		11.5	42.5	DJ	1	Djibouti	DJ	DJ		11.5	42.5	DJ	1	Djibouti	DJ	DJ		11.5	42.5	DJ	20230120131500	https://allafrica.com/stories/202301200463.html
1081057183	20220120	202201	2022	2022.0548	ESP	SPAIN	ESP								LAB	WORKER						LAB			1	010	010	01	1	0.0	2	1	2	-0.53003533568905	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20230120131500	https://www.thelocal.es/20230120/in-stats-where-are-spains-foreign-self-employed-workers-from/
1081057184	20220120	202201	2022	2022.0548	ETH	ETHIOPIA	ETH								DJI	DJIBOUTI	DJI								1	046	046	04	1	7.0	1	1	1	4.81283422459893	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	1	Djibouti	DJ	DJ		11.5	42.5	DJ	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	20230120131500	https://allafrica.com/stories/202301200463.html
1081057185	20220120	202201	2022	2022.0548	ETH	ETHIOPIA	ETH								DJI	DJIBOUTI	DJI								1	046	046	04	1	7.0	1	1	1	4.81283422459893	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	1	Djibouti	DJ	DJ		11.5	42.5	DJ	1	Djibouti	DJ	DJ		11.5	42.5	DJ	20230120131500	https://allafrica.com/stories/202301200463.html
1081057186	20220120	202201	2022	2022.0548	ETH	ETHIOPIA	ETH								GOV	STATE MINIST						GOV			1	046	046	04	1	7.0	3	1	3	4.81283422459893	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	20230120131500	https://allafrica.com/stories/202301200463.html
1081057187	20220120	202201	2022	2022.0548	GBR	LONDON	GBR								EDUEDU	UNIVERSITY						EDU	EDU		1	013	013	01	1	0.4	2	1	2	-9.76744186046513	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20230120131500	https://www.thenews.com.pk/latest/1032539-king-charles-egg-attack-student-denies-public-order-offence
1081057188	20220120	202201	2022	2022.0548	GBR	LONDON	GBR								EDUEDU	UNIVERSITY						EDU	EDU		1	016	016	01	1	-2.0	2	1	2	-9.76744186046513	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20230120131500	https://www.thenews.com.pk/latest/1032539-king-charles-egg-attack-student-denies-public-order-offence
1081057189	20220120	202201	2022	2022.0548	GBR	LONDON	GBR								GOV	KING						GOV			1	016	016	01	1	-2.0	8	1	8	-9.76744186046513	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20230120131500	https://www.thenews.com.pk/latest/1032539-king-charles-egg-attack-student-denies-public-order-offence
1081057190	20220120	202201	2022	2022.0548	GOV	STATE MINIST						GOV			ETH	ETHIOPIA	ETH								1	046	046	04	1	7.0	3	1	3	4.81283422459893	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	20230120131500	https://allafrica.com/stories/202301200463.html
